iter	TotalF1	MultiClass
0	0.9380156185	1.014918503
1	0.9425381347	0.9417634007
2	0.9435157415	0.8781538457
3	0.9458395381	0.8218472713
4	0.9457857857	0.7714285222
5	0.9476313142	0.7254851314
6	0.9472771207	0.6847207356
7	0.9486116046	0.6474074412
8	0.94884061	0.6131943879
9	0.9491647436	0.5819390752
10	0.949158566	0.553206569
11	0.9490144958	0.5267768578
12	0.9506354802	0.5019123485
13	0.9510921894	0.4793240322
14	0.9511126333	0.458228197
15	0.9515703222	0.4384990154
16	0.9518748978	0.4199235474
17	0.9521159077	0.4028582907
18	0.9524181152	0.3867679469
19	0.9527133502	0.3716929008
20	0.9529965855	0.3579627394
21	0.953426272	0.3446617412
22	0.9535336045	0.3323824289
23	0.9537166472	0.3207557642
24	0.9537980251	0.3098106823
25	0.9541617753	0.299545035
26	0.9545119676	0.2896711469
27	0.9546104227	0.2804583534
28	0.9548093266	0.2716536891
29	0.9549355339	0.2634823331
30	0.9549863147	0.2559150183
31	0.9551995642	0.2486522206
32	0.9553463094	0.2418140827
33	0.9555748085	0.2351754761
34	0.9556556813	0.2291101813
35	0.9558900643	0.2232152274
36	0.9559695497	0.2177153857
37	0.9561109213	0.2123983607
38	0.9561964047	0.2075947742
39	0.9563439795	0.2029679859
40	0.9565424853	0.1984843883
41	0.9568040875	0.1941967605
42	0.9567846774	0.190279274
43	0.9569181303	0.1864651948
44	0.9570401795	0.1828192849
45	0.9570776727	0.1795201095
46	0.9572584955	0.1764355189
47	0.9575259401	0.173264761
48	0.9577558788	0.1703615814
49	0.9579028987	0.1676187082
50	0.9580317064	0.1648867959
51	0.9582016509	0.1625614894
52	0.9583521442	0.1600936975
53	0.958416816	0.1576065879
54	0.9585725288	0.1552899132
55	0.9587381266	0.1532132135
56	0.9587732444	0.1512692498
57	0.9589493816	0.1494220422
58	0.959118732	0.1475587147
59	0.9593275769	0.1460800918
60	0.9593329752	0.1444343483
61	0.9595371446	0.1428840033
62	0.9596402362	0.1412545698
63	0.9598270656	0.1394435872
64	0.9599573784	0.1379576
65	0.9601054189	0.1367477383
66	0.9601575037	0.1356144713
67	0.9602512968	0.1344116004
68	0.9603660947	0.1332479938
69	0.9604205854	0.1322322421
70	0.9605194222	0.1312434011
71	0.9605775667	0.1303581879
72	0.9607104447	0.1292251315
73	0.9608189234	0.1281893709
74	0.9608952237	0.1271043668
75	0.9610123058	0.1260703037
76	0.9611266602	0.1253527509
77	0.9611542763	0.1245170599
78	0.9612944018	0.1237241773
79	0.9614558292	0.1228318649
80	0.9615606267	0.1219731369
81	0.9616449081	0.1212191403
82	0.961732045	0.1205725296
83	0.9618380661	0.1198025519
84	0.9619224585	0.1189789763
85	0.9619695638	0.1183511523
86	0.9620404859	0.1176910136
87	0.9621143129	0.1169693355
88	0.9622145552	0.1165889528
89	0.9622818954	0.1160775876
90	0.9623261933	0.1156188523
91	0.9624060926	0.1152187521
92	0.9624750623	0.1147689751
93	0.9625574437	0.1142770252
94	0.962583879	0.1138544137
95	0.9627034883	0.1133086927
96	0.9627186511	0.1129580811
97	0.962787653	0.1125839464
98	0.962918386	0.1121701659
99	0.962988446	0.1117147803
100	0.9630330254	0.1114501057
101	0.9630973456	0.1110604494
102	0.9631863666	0.1105957057
103	0.9633807411	0.1100914168
104	0.9633729669	0.109833597
105	0.9634664834	0.1094549286
106	0.96359071	0.1090424205
107	0.9635996383	0.1087368856
108	0.9636246597	0.1083820192
109	0.9637363561	0.1079531619
110	0.9637794024	0.1077433344
111	0.9638086298	0.107512632
112	0.9638583895	0.1073356012
113	0.9639284485	0.1069410638
114	0.9640026633	0.1067890028
115	0.9640151911	0.1065549836
116	0.9641134787	0.1060561959
117	0.9641108436	0.1058614589
118	0.964257167	0.1054907063
119	0.9643406783	0.1051858571
120	0.9643652851	0.1050069933
121	0.9644153696	0.1048153333
122	0.9645243724	0.1045491549
123	0.9646756205	0.1040638931
124	0.964747365	0.1038243412
125	0.9647751198	0.1035953057
126	0.9648939336	0.1032137096
127	0.9650134028	0.1028453474
128	0.9650879914	0.1025633058
129	0.9651477016	0.1023577887
130	0.9651694165	0.1021786598
131	0.9652268234	0.1020307739
132	0.9652306964	0.1018718313
133	0.9652988601	0.1017066485
134	0.9653073826	0.1015490171
135	0.9653880255	0.101276235
136	0.9654241863	0.1011136122
137	0.9654751443	0.1008828897
138	0.965510664	0.1007184289
139	0.9655341559	0.1005086071
140	0.9655767224	0.1004000427
141	0.9656234286	0.1002485125
142	0.9656864314	0.1000672043
143	0.965790479	0.09975760977
144	0.9658255598	0.09961305199
145	0.9658891708	0.09934229714
146	0.9658687742	0.09924918474
147	0.965925221	0.09897604603
148	0.9659890634	0.09880262016
149	0.9660109891	0.09869291547
150	0.9660512196	0.09855958797
151	0.9660796746	0.09839585751
152	0.9661521048	0.0982269259
153	0.9661774288	0.09809311792
154	0.9662425256	0.09792332617
155	0.9662482524	0.09779728265
156	0.9663102989	0.09759337436
157	0.9663206695	0.0974989194
158	0.9663076659	0.09740822146
159	0.9663503371	0.09729067673
160	0.9663739766	0.09719409512
161	0.9663894787	0.09708332087
162	0.9664165864	0.09694830064
163	0.9664239815	0.09675717028
164	0.966503941	0.0966399375
165	0.9665633656	0.09649605586
166	0.9665673785	0.09639471921
167	0.9666617832	0.09618551978
168	0.9667131641	0.09607859524
169	0.9667592886	0.09592088675
170	0.9668176265	0.09572533224
171	0.9668524259	0.09563811533
172	0.9668607603	0.09554787313
173	0.9668853021	0.09544921691
174	0.9669318161	0.09531407237
175	0.966958049	0.09525456913
176	0.9669810839	0.09517255494
177	0.9670407529	0.09507352518
178	0.9670780336	0.09495056456
179	0.9671018121	0.0948295216
180	0.9671411192	0.09473653957
181	0.9671473974	0.09465899426
182	0.9672301566	0.09448161501
183	0.967279848	0.09432696114
184	0.9673012615	0.0942498931
185	0.9673655231	0.0940863907
186	0.9674091387	0.0939645281
187	0.9674100185	0.09386037828
188	0.9674868283	0.0937579194
189	0.9675074974	0.09361417234
190	0.9675532665	0.09348866185
191	0.9675704427	0.09339850867
192	0.9675908101	0.09328196024
193	0.9676352058	0.09313470551
194	0.967683321	0.09302513257
195	0.9676957773	0.0929431874
196	0.967705875	0.09287296247
197	0.9677128286	0.09278035519
198	0.9677344012	0.09269812474
199	0.9678164689	0.09253112619
200	0.96785051	0.0924261011
201	0.9678586903	0.09233580729
202	0.9678851897	0.09224677566
203	0.9679335261	0.09208416283
204	0.9679465496	0.09198202562
205	0.9680005569	0.0918556332
206	0.9680166137	0.09179952168
207	0.9680815291	0.09174155877
208	0.9681012443	0.09169178098
209	0.9680953343	0.0916465118
210	0.9680915619	0.09158974758
211	0.9681026831	0.09153960961
212	0.9681324816	0.09143024926
213	0.9681482418	0.09137201099
214	0.9682145579	0.09125416793
215	0.9682152291	0.09119815649
216	0.9682480212	0.09113458491
217	0.9682675968	0.09109527599
218	0.968282485	0.09099866609
219	0.9683279119	0.09090698006
220	0.9683287001	0.09083287205
221	0.968362049	0.09078016158
222	0.9684149613	0.09067116747
223	0.9684331538	0.09061148522
224	0.9684373621	0.09056078294
225	0.9684666244	0.09048654026
226	0.9685185222	0.09042888897
227	0.9685126554	0.09038370081
228	0.9685420761	0.09032158585
229	0.9685652942	0.09024729276
230	0.9685895077	0.09018357817
231	0.9685980182	0.09012172369
232	0.968607142	0.0900609944
233	0.9686544468	0.09002771916
234	0.9686488042	0.08995400373
235	0.9686612444	0.08989725134
236	0.9687081983	0.08975900761
237	0.9687331161	0.08971852549
238	0.9687378153	0.08967172326
239	0.9687303834	0.08963511006
240	0.9687198785	0.08957049882
241	0.9687930106	0.08944164384
242	0.9688003114	0.08939976419
243	0.9687994172	0.08936662796
244	0.9688174109	0.08932992194
245	0.9688323574	0.08928138936
246	0.968840995	0.0892384789
247	0.9688699967	0.08918064977
248	0.9689083953	0.08908066117
249	0.9689376921	0.08900789968
250	0.9689760313	0.0888743243
251	0.9689938006	0.08882374108
252	0.9689974802	0.0887923388
253	0.9690149458	0.08871869129
254	0.9690382589	0.08868110443
255	0.9690592285	0.08862653537
256	0.9690931842	0.08858133089
257	0.9690999368	0.08848872183
258	0.969090552	0.08845405635
259	0.9691123627	0.08840262295
260	0.9691132648	0.08835028474
261	0.9691170837	0.08831826343
262	0.9691296277	0.08827315314
263	0.96914541	0.08823910436
264	0.9691678002	0.08820095577
265	0.9691758583	0.08815863406
266	0.9691985581	0.0881184642
267	0.9692234554	0.08804077913
268	0.9692178938	0.08800841019
269	0.9692298169	0.08796235585
270	0.9692755056	0.08789959077
271	0.9692880424	0.08786078657
272	0.9692980134	0.08777829172
273	0.9693115275	0.08774991425
274	0.9693385903	0.08766290588
275	0.9693548164	0.08762436491
276	0.9693724404	0.08758435486
277	0.9694023145	0.08747075867
278	0.9694031787	0.08741994027
279	0.9694395962	0.08731339542
280	0.969452396	0.08727916909
281	0.9695052795	0.08720665044
282	0.9695282632	0.0871657209
283	0.9695386535	0.08713561886
284	0.9695860985	0.0870475515
285	0.9695944642	0.08701917729
286	0.9696089588	0.08696661263
287	0.9695962233	0.08693606641
288	0.9696009044	0.08690748685
289	0.9696284833	0.08685630521
290	0.9696328252	0.08676098507
291	0.9696763463	0.08667283666
292	0.9696805109	0.08664403625
293	0.9696981907	0.08659153714
294	0.9697436337	0.08649083518
295	0.9697445315	0.08646118075
296	0.9697592443	0.08643505776
297	0.9697566233	0.08640181062
298	0.9697802542	0.08636316066
299	0.9698153329	0.0862922006
300	0.9698341495	0.08626353621
301	0.9698304424	0.08623104629
302	0.9698723602	0.08618112317
303	0.9699045457	0.08610912069
304	0.9699047652	0.08607079405
305	0.9699271699	0.08601581106
306	0.9699333198	0.08599593683
307	0.9699366125	0.08595659772
308	0.9699163309	0.08590281437
309	0.9699355772	0.08587656848
310	0.9699546378	0.08584994352
311	0.9699513052	0.08582406507
312	0.9699571747	0.08579818929
313	0.9699688135	0.08577114832
314	0.9699887376	0.08572944685
315	0.969998847	0.08570635775
316	0.9699987194	0.08567779089
317	0.9700097639	0.08564184087
318	0.9700307095	0.08561506353
319	0.9700411051	0.08556641779
320	0.9700214539	0.08553140594
321	0.9700330309	0.08550465724
322	0.970053914	0.08547250142
323	0.9700803879	0.0854038609
324	0.9700663559	0.08537116918
325	0.9700882364	0.0853476437
326	0.9701059649	0.08532498796
327	0.9701080028	0.08529442551
328	0.9701254798	0.08525920528
329	0.9701104185	0.08523145428
330	0.9701444889	0.08517583075
331	0.9701751136	0.08513166603
332	0.9701834838	0.08508437158
333	0.9702051425	0.08504870548
334	0.9702029735	0.08502157546
335	0.9701997232	0.08498885871
336	0.9701977188	0.08494954988
337	0.970199003	0.08491966702
338	0.9702276132	0.08489837209
339	0.9702271851	0.08487312223
340	0.970249679	0.08482952586
341	0.9702616575	0.08480552542
342	0.9702658005	0.08476361554
343	0.9702766836	0.08472517033
344	0.9702940999	0.08468227355
345	0.9703496021	0.08461194738
346	0.9703730904	0.08457603495
347	0.9703647106	0.08455172438
348	0.9703703094	0.08452888201
349	0.970379388	0.08450476519
350	0.9703864067	0.08447963843
351	0.9703823708	0.08446224793
