iter	Passed	Remaining
0	507	1014547
1	1050	1048966
2	1556	1036000
3	2069	1032733
4	2564	1023399
5	3055	1015588
6	3549	1010464
7	4057	1010349
8	4547	1006088
9	5045	1003994
10	5540	1001803
11	6033	999587
12	6534	998826
13	7034	997927
14	7529	996456
15	8021	994648
16	8514	993201
17	9011	992244
18	9514	992043
19	10020	992069
20	10519	991322
21	11017	990548
22	11515	989834
23	12014	989208
24	12526	989603
25	13027	989074
26	13530	988725
27	14043	989058
28	14558	989504
29	15066	989337
30	15571	989058
31	16075	988653
32	16570	987691
33	17066	986832
34	17569	986405
35	18073	986011
36	18604	987030
37	19095	985952
38	19595	985287
39	20100	984914
40	20609	984754
41	21115	984392
42	21632	984548
43	22126	983611
44	22634	983344
45	23142	983068
46	23640	982331
47	24154	982268
48	24654	981657
49	25154	981010
50	25661	980673
51	26150	979619
52	26646	978895
53	27148	978335
54	27652	977907
55	28150	977233
56	28654	976767
57	29147	975935
58	29660	975781
59	30149	974820
60	30659	974570
61	31153	973782
62	31660	973442
63	32179	973415
64	32680	972884
65	33174	972107
66	33681	971730
67	34189	971394
68	34681	970571
69	35175	969838
70	35684	969515
71	36168	968517
72	36687	968456
73	37240	969258
74	37761	969221
75	38276	968988
76	38760	968011
77	39262	967458
78	39768	967026
79	40274	966595
80	40788	966336
81	41268	965286
82	41749	964252
83	42239	963453
84	42744	963000
85	43248	962519
86	43734	961661
87	44241	961249
88	44716	960139
89	45248	960279
90	45738	959511
91	46226	958694
92	46733	958282
93	47255	958179
94	47737	957263
95	48242	956806
96	48724	955897
97	49214	955171
98	49715	954632
99	50201	953834
100	50678	952846
101	51185	952449
102	51686	951942
103	52202	951700
104	52691	950955
105	53204	950651
106	53707	950165
107	54224	949929
108	54749	949832
109	55249	949278
110	55743	948650
111	56224	947783
112	56710	947023
113	57229	946799
114	57659	945119
115	58100	943625
116	58587	942909
117	59023	941371
118	59467	939982
119	59923	938799
120	60354	937239
121	60793	935819
122	61243	934580
123	61725	933845
124	62206	933094
125	62751	933306
126	63253	932867
127	63731	932070
128	64182	930896
129	64626	929626
130	65082	928548
131	65553	927677
132	66003	926527
133	66459	925475
134	66893	924121
135	67338	922929
136	67872	922962
137	68431	923334
138	69009	923936
139	69523	923666
140	70017	923143
141	70523	922764
142	71049	922654
143	71579	922583
144	72047	921709
145	72502	920684
146	72934	919375
147	73381	918260
148	73864	917600
149	74301	916385
150	74737	915159
151	75159	913786
152	75603	912679
153	76057	911701
154	76519	910830
155	77018	910394
156	77499	909754
157	77953	908800
158	78376	907488
159	78806	906269
160	79233	905029
161	79655	903747
162	80079	902493
163	80517	901400
164	80935	900099
165	81366	898951
166	81785	897676
167	82216	896549
168	82664	895611
169	83124	894805
170	83558	893738
171	83984	892576
172	84399	891318
173	84814	890061
174	85245	888987
175	85730	888481
176	86178	887588
177	86607	886511
178	87047	885547
179	87469	884408
180	87892	883300
181	88310	882138
182	88754	881235
183	89182	880194
184	89630	879345
185	90098	878705
186	90532	877727
187	90959	876692
188	91395	875750
189	91836	874861
190	92264	873855
191	92689	872824
192	93118	871841
193	93565	871029
194	94005	870152
195	94423	869081
196	94844	868044
197	95268	867038
198	95708	866188
199	96147	865324
200	96593	864536
201	97046	863812
202	97488	862989
203	97932	862192
204	98357	861230
205	98790	860339
206	99239	859595
207	99680	858786
208	100099	857792
209	100520	856814
210	100934	855793
211	101354	854821
212	101789	853976
213	102201	852952
214	102646	852205
215	103071	851291
216	103493	850364
217	103906	849363
218	104333	848483
219	104759	847602
220	105230	847080
221	105650	846158
222	106095	845432
223	106510	844472
224	106928	843545
225	107369	842804
226	107797	841964
227	108211	841008
228	108638	840171
229	109066	839339
230	109493	838504
231	109914	837624
232	110340	836786
233	110768	835971
234	111190	835108
235	111610	834238
236	112048	833510
237	112463	832610
238	112888	831785
239	113300	830872
240	113723	830038
241	114171	829391
242	114598	828599
243	115008	827680
244	115431	826869
245	115858	826080
246	116280	825262
247	116700	824431
248	117129	823667
249	117545	822816
250	117985	822140
251	118404	821315
252	118825	820506
253	119249	819725
254	119673	818941
255	120092	818133
256	120521	817385
257	120945	816619
258	121369	815849
259	121785	815027
260	122197	814180
261	122611	813353
262	123025	812532
263	123447	811761
264	123872	811012
265	124289	810218
266	124713	809468
267	125138	808727
268	125549	807903
269	125974	807171
270	126402	806455
271	126813	805639
272	127243	804945
273	127650	804103
274	128081	803422
275	128500	802663
276	128920	801910
277	129355	801260
278	129784	800569
279	130208	799853
280	130632	799138
281	131056	798423
282	131478	797700
283	131902	796986
284	132327	796285
285	132757	795616
286	133187	794950
287	133602	794190
288	134017	793438
289	134433	792693
290	134867	792057
291	135307	791457
292	135735	790788
293	136168	790145
294	136598	789491
295	137020	788796
296	137429	788021
297	137858	787367
298	138279	786667
299	138703	785987
300	139125	785293
301	139560	784682
302	139981	783989
303	140421	783401
304	140855	782788
305	141284	782143
306	141717	781525
307	142157	780942
308	142577	780252
309	142990	779531
310	143396	778767
311	143808	778043
312	144228	777360
313	144652	776700
314	145075	776040
315	145494	775357
316	145915	774688
317	146323	773952
318	146743	773276
319	147169	772638
320	147584	771942
321	148000	771256
322	148427	770626
323	148866	770062
324	149290	769418
325	149710	768760
326	150133	768116
327	150549	767437
328	150980	766832
329	151403	766193
330	151841	765631
331	152271	765027
332	152701	764424
333	153143	763884
334	153569	763263
335	153980	762569
336	154396	761904
337	154818	761266
338	155238	760623
339	155661	759995
340	156080	759346
341	156491	758662
342	156918	758059
343	157343	757442
344	157762	756801
345	158201	756258
346	158628	755657
347	159040	754986
348	159459	754349
349	159882	753732
350	160295	753069
351	160705	752393
